Date,Open,High,Low,Close,Adj Close,Volume
06-10-2022,247.929993,250.339996,246.080002,246.789993,244.428604,20239900
07-10-2022,240.899994,241.320007,233.169998,234.240005,231.998703,37769600
10-10-2022,233.050003,234.559998,226.729996,229.25,227.056458,29743600
11-10-2022,227.619995,229.059998,224.110001,225.410004,223.253204,30474000
12-10-2022,225.399994,227.860001,223.960007,225.75,223.589951,21903900
13-10-2022,219.850006,236.100006,219.130005,234.240005,231.998703,42551800
14-10-2022,235.539993,237.240005,228.339996,228.559998,226.373062,30198600
17-10-2022,235.820007,238.960007,235.139999,237.529999,235.257217,28142300
18-10-2022,243.240005,243.929993,235.369995,238.5,236.217957,26329600
19-10-2022,237.039993,239.610001,234.289993,236.479996,234.21727,19985700
20-10-2022,235.770004,241.309998,234.869995,236.149994,233.890427,21811000
21-10-2022,234.740005,243,234.5,242.119995,239.803314,26299700
24-10-2022,243.759995,247.839996,241.300003,247.25,244.884232,24911200
25-10-2022,247.259995,251.039993,245.830002,250.660004,248.261581,34775500
26-10-2022,231.169998,238.300003,230.059998,231.320007,229.106659,82543200
27-10-2022,231.039993,233.690002,225.779999,226.75,224.580383,40424600
28-10-2022,226.240005,236.600006,226.050003,235.869995,233.613113,40647700
31-10-2022,233.759995,234.919998,231.149994,232.130005,229.90889,28357300
01-11-2022,234.600006,235.740005,227.330002,228.169998,225.986771,30592300
02-11-2022,229.460007,231.300003,220.039993,220.100006,217.994003,38407000
03-11-2022,220.089996,220.410004,213.979996,214.25,212.199997,36633900
04-11-2022,217.550003,221.589996,213.429993,221.389999,219.271652,36789100
07-11-2022,221.990005,228.410004,221.279999,227.869995,225.689651,33498000
08-11-2022,228.699997,231.649994,225.839996,228.869995,226.680069,28192500
09-11-2022,227.369995,228.630005,224.330002,224.509995,222.361801,27852900
10-11-2022,235.429993,243.330002,235,242.979996,240.65509,46268000
11-11-2022,242.990005,247.990005,241.929993,247.110001,244.74556,34620200
14-11-2022,241.990005,243.910004,239.210007,241.550003,239.238785,31123300
15-11-2022,245.660004,247,240.029999,241.970001,239.654755,31390100
16-11-2022,242.789993,243.800003,240.419998,241.729996,240.091751,24093300
17-11-2022,237.779999,243.25,237.630005,241.679993,240.042084,23123500
18-11-2022,243.509995,243.740005,239.029999,241.220001,239.585205,27613500
